Capacity, Server threads, Client threads, Time taken in seconds,Throughput in MOPs
4194304,1,1,0.556541625,7.536370707222483
4194304,1,2,0.532183314,7.881314369807543
4194304,1,3,0.553091299,7.583384529070308
4194304,1,4,0.548034969,7.6533510400866405
4194304,1,5,0.546616945,7.6732052278401275
4194304,1,6,0.545490635,7.689048593840664
4194304,1,7,0.540837154,7.755206847346143
4194304,1,8,0.564371085,7.431819438446249
4194304,1,9,0.536532757,7.817423904278039
4194304,1,10,0.549580655,7.631826123865295
4194304,1,11,0.537894777,7.7976291634451025
4194304,1,12,0.551389686,7.606787189704523
4194304,1,13,0.540250576,7.763627076632678
4194304,1,14,0.53191459,7.885296020926969
4194304,1,15,0.560690213,7.4806085477365025
4194304,1,16,0.540907811,7.754193810301623
4194304,1,17,0.539971901,7.767633819893898
4194304,1,18,0.534629788,7.845249355989868
4194304,1,19,0.534945324,7.840621857646147
4194304,1,20,0.546797911,7.670665735224436
4194304,1,21,0.545577413,7.6878255955218595
4194304,2,1,2.088659547,2.0081319648405103
4194304,2,2,1.615393061,2.5964603298490956
4194304,2,3,1.3724881820000001,3.055985512303668
4194304,2,4,1.284433206,3.2654901636045057
4194304,2,5,1.23477491,3.3968166716312687
4194304,3,1,2.5405676809999997,1.6509318099918
4194304,3,2,1.551454037,2.703466490125869
4194304,3,3,1.185612192,3.5376694236963444
4194304,3,4,1.046247274,4.008903157247318
4194304,3,5,0.926612913,4.526489908737112
4194304,3,7,0.79479831,5.277192901932566
4194304,4,1,3.04251226,1.3785660143897003
4194304,4,2,1.82820621,2.294218221696118
4194304,4,3,1.365163364,3.072382478614479
4194304,4,5,1.10559544,3.7937059508856144
4194304,4,6,1.045621616,4.011301923964816
4194304,4,8,0.84963023,4.936622841209404
4194304,4,12,0.753980442,5.562881696074551
4194304,5,1,3.07181628,1.3654149915502107
4194304,5,2,1.7580330819999999,2.3857935569838156
4194304,5,3,1.2741272430000001,3.291903554408184
4194304,5,4,1.041259009,4.0281082456401585
4194304,5,5,0.860515732,4.874174688534341
4194304,5,6,0.832302119,5.039400842856679
4194304,5,7,0.787207782,5.3280774096819075
4194304,5,8,0.719351725,5.830672054063678
4194304,5,9,0.654088603,6.412440120134611
4194304,5,10,0.61800874,6.786803694717975
4194304,5,11,0.62966211,6.661198019363114
4194304,5,12,0.595614897,7.041972961263929
4194304,5,14,0.542377388,7.733183744009622
4194304,5,15,0.51691837,8.11405483616301
4194304,6,1,3.243593639,1.2931040280659523
4194304,6,2,1.891731327,2.2171774290229322
4194304,6,3,1.276199253,3.2865588897190805
4194304,6,4,1.041879399,4.025709697327454
4194304,6,5,0.885788352,4.735108551077448
4194304,6,7,0.791666372,5.298070182523807
4194304,6,8,0.718014866,5.841528077776596
4194304,6,9,0.665138788,6.3059079934457225
4194304,6,10,0.624606993,6.715108935707993
4194304,6,11,0.589461995,7.115478242155374
4194304,6,12,0.564177914,7.434364047083204
4194304,6,13,0.579573096,7.236885267704008
4194304,6,15,0.487561961,8.602607125866408
4194304,6,16,0.480331641,8.732100161604803
4194304,6,17,0.445173919,9.421719963787906
4194304,6,21,0.403008015,10.40749524547297
4194304,7,1,3.349516983,1.2522115938768477
4194304,7,2,1.894722145,2.2136776155112705
4194304,7,3,1.379038479,3.041469882001748
4194304,7,4,1.069594188,3.921397523525063
4194304,7,5,0.879897746,4.766808437761358
4194304,7,6,0.779889003,5.378078141717302
4194304,7,7,0.688873701,6.08864004230581
4194304,7,8,0.702439046,5.971057594084826
4194304,7,9,0.668171664,6.27728505409951
4194304,7,10,0.61971311,6.76813824383996
4194304,7,12,0.552288358,7.594409585581016
4194304,7,13,0.526821566,7.961526768628906
4194304,7,14,0.505599594,8.29570286403355
4194304,7,15,0.492157343,8.522282679829893
